iter	RMSE
0	25.17652403
1	9.289634198
2	3.89800777
3	2.283463205
4	1.562378619
5	1.030029656
6	0.88507684
7	0.8720510349
8	0.4222129701
9	0.299180697
10	0.2965609342
11	0.2007113497
12	0.1729671909
13	0.1153388721
14	0.109725671
15	0.1087585104
16	0.1082215648
17	0.1079218466
18	0.09285274013
19	0.08701132949
20	0.0676504057
21	0.06362154741
22	0.0498614079
23	0.04868395621
24	0.03762524674
25	0.03734319869
26	0.02973263453
27	0.02953489671
28	0.02863533
29	0.02852223921
30	0.02256448476
31	0.01830868056
32	0.0154766571
33	0.01038432812
34	0.008606003078
35	0.006622213441
36	0.006091595569
37	0.005633557337
38	0.004463724526
39	0.004391772218
40	0.004351702582
41	0.003659003387
42	0.003191187201
43	0.003160002078
44	0.002631346824
45	0.002075433805
46	0.001744145883
47	0.001726138043
48	0.001595914305
49	0.001584438666
50	0.00151527762
51	0.001289253983
52	0.00113854668
53	0.0009395079184
54	0.0008481192558
55	0.0007234485447
56	0.0006962720016
57	0.0006465600738
58	0.0005296974403
59	0.0005091254846
60	0.0004064031263
61	0.0003986117851
62	0.000394202633
63	0.0003703847964
64	0.0003494881715
65	0.0003279895381
66	0.0003169673956
67	0.0003152136697
68	0.000302141924
69	0.0002496667408
70	0.0002415333135
71	0.0002005098682
72	0.0001829104008
73	0.0001477234619
74	0.0001433902699
75	0.0001408924957
76	0.0001349471132
77	0.0001310917261
78	0.0001097391753
79	0.0001050500139
80	9.327970662e-05
81	8.444411472e-05
82	6.854700894e-05
83	6.750031212e-05
84	6.481500525e-05
85	6.278678193e-05
86	5.127962812e-05
87	5.116871755e-05
88	5.092798184e-05
89	5.046489287e-05
90	4.6978405e-05
91	4.600788442e-05
92	4.519690366e-05
93	4.379821843e-05
94	4.168532342e-05
95	4.168072436e-05
96	4.140967338e-05
97	4.069367476e-05
98	4.041985432e-05
99	3.160437781e-05
