iter	Passed	Remaining
0	78	7769
1	155	7628
2	231	7478
3	308	7403
4	378	7189
5	449	7037
6	513	6816
7	580	6679
8	650	6572
9	718	6462
10	785	6356
11	856	6282
12	922	6173
13	990	6086
14	1059	6003
15	1132	5943
16	1196	5841
17	1262	5751
18	1331	5674
19	1395	5581
20	1468	5525
21	1532	5432
22	1595	5341
23	1662	5264
24	1733	5199
25	1790	5095
26	1855	5015
27	1908	4906
28	1974	4834
29	2028	4732
30	2088	4649
31	2154	4578
32	2219	4505
33	2290	4446
34	2364	4391
35	2433	4325
36	2497	4252
37	2562	4180
38	2627	4110
39	2663	3994
40	2704	3891
41	2769	3824
42	2838	3763
43	2879	3664
44	2943	3597
45	3007	3530
46	3069	3461
47	3106	3365
48	3169	3299
49	3210	3210
50	3249	3121
51	3318	3062
52	3387	3003
53	3449	2938
54	3516	2876
55	3580	2813
56	3634	2741
57	3697	2677
58	3760	2613
59	3812	2541
60	3875	2477
61	3918	2401
62	3966	2329
63	4031	2267
64	4091	2203
65	4159	2142
66	4223	2080
67	4264	2006
68	4330	1945
69	4397	1884
70	4459	1821
71	4526	1760
72	4591	1698
73	4657	1636
74	4713	1571
75	4769	1506
76	4838	1445
77	4899	1382
78	4966	1320
79	5035	1258
80	5099	1196
81	5169	1134
82	5240	1073
83	5304	1010
84	5372	948
85	5439	885
86	5507	822
87	5576	760
88	5642	697
89	5709	634
90	5776	571
91	5840	507
92	5904	444
93	5969	381
94	6037	317
95	6102	254
96	6167	190
97	6232	127
98	6299	63
99	6364	0
